ANDA	230	432
ARAG	433	161
CANT	262	44
CAST	224	141
CAMA	316	314
CATA	550	143
CEUT	189	544
MADR	277	227
VALE	443	309
EXTR	147	320
GALI	65	71
BALE	631	284
CANA	502	596
RIOJ	337	115
MELI	260	584
NAVA	380	82
EUHE	337	52
ASTU	165	33
MURC	394	407
