01	333	73
02	354	231
03	407	251
04	349	312
05	261	166
06	221	237
07	512	198
08	476	115
09	307	94
10	226	194
11	231	329
12	416	175
13	302	235
14	265	267
15	160	54
16	349	190
17	502	89
18	306	301
19	340	154
20	349	59
21	199	280
22	414	95
23	309	267
24	239	80
25	445	104
26	339	93
27	192	58
28	300	166
29	271	311
30	374	269
31	362	77
32	187	96
33	237	48
34	277	89
35	485	371
36	158	81
37	228	152
38	452	354
39	292	52
40	291	136
41	238	287
42	337	120
43	443	142
44	389	158
45	280	195
46	396	211
47	270	121
48	328	54
49	235	115
50	383	122
51	249	350
52	326	375
